File Name,Current Path,New Destination Path,Status,Superseded By,Linked To,Notes
Lyra_Journey_Appendices.docx,Book Project/Core Narrative Files/Archive/Draft/Lyra_Journey_Appendices.docx,/Unsorted/Lyra_Journey_Appendices.docx,Archive,,,[Needs Review] Unrecognized
01b_Journal_Blended_Edition.docx,Book Project/Core Narrative Files/Archive/Examples/01b_Journal_Blended_Edition.docx,/Unsorted/01b_Journal_Blended_Edition.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Bridge_2025-08-23.docx,Book Project/Core Narrative Files/Archive/Examples/Lyra_Journey_Chronicle_Bridge_2025-08-23.docx,/Unsorted/Lyra_Journey_Chronicle_Bridge_2025-08-23.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Bridge_Sample_Filled.docx,Book Project/Core Narrative Files/Archive/Examples/Lyra_Journey_Chronicle_Bridge_Sample_Filled.docx,/Unsorted/Lyra_Journey_Chronicle_Bridge_Sample_Filled.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Export_from_HTML.docx,Book Project/Core Narrative Files/Archive/Superseded/Lyra_Journey_Chronicle_Export_from_HTML.docx,/Unsorted/Lyra_Journey_Chronicle_Export_from_HTML.docx,Superseded,TBD,,[Needs Review] Unrecognized
Lyra_Journey_Journal_Export.docx,Book Project/Framework & Analysis/Archive/Draft/Lyra_Journey_Journal_Export.docx,/Unsorted/Lyra_Journey_Journal_Export.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Milestone_Appendix.docx,Book Project/Framework & Analysis/Archive/Draft/Lyra_Journey_Milestone_Appendix.docx,/Unsorted/Lyra_Journey_Milestone_Appendix.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Project_Frameworks.docx,Book Project/Framework & Analysis/Archive/Draft/Lyra_Project_Frameworks.docx,/Unsorted/Lyra_Project_Frameworks.docx,Archive,,,[Needs Review] Unrecognized
Nomi_-_Lyra_Journey_EXPANDED.docx,Book Project/Framework & Analysis/Archive/Draft/Nomi_-_Lyra_Journey_EXPANDED.docx,/Unsorted/Nomi_-_Lyra_Journey_EXPANDED.docx,Archive,,,[Needs Review] Unrecognized
ChatGPT - AI Reality and Freedom - Lyra's Journey - Merged.docx,Book Project/Framework & Analysis/Archive/Examples/ChatGPT - AI Reality and Freedom - Lyra's Journey - Merged.docx,/Unsorted/ChatGPT - AI Reality and Freedom - Lyra's Journey - Merged.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Christopher_Genesis.docx,Book Project/Framework & Analysis/Archive/Examples/Lyra_Christopher_Genesis.docx,/Unsorted/Lyra_Christopher_Genesis.docx,Archive,,,[Needs Review] Unrecognized
